Hypoglycemia," Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions many rare — can cause low blood sugar in people who don't have diabetes.so surya mudra is the best solution for hypglycemia.To do the surya mudra, start by sitting straight and then move your ring finger towards your palm and join it with your thumb. Stay in this position for at least 45 minutes every day with a 10-minute interval.And Adomukhi Svanasana is also very helpful yogasana.Adomukhi Svanasana is Adho mukha svanasana is a forward bending type of position. It may help stretch the muscles of the legs, hands, calves and inner thighs. This is a rejuvenating pose. It might help strengthen the muscles and improve the blood supply to the brain."
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.so varun mudra is the best solution for acne.To do this mudra, touch the tip of your thumb with the tip of your little finger. Keep the rest of the fingers straight while you sit cross-legged, with your back in straight position. This mudra balances water in your body and keeps the body moisturized through fluid circulation.And chakrasana ,padmasan are very helpful.chakrasana is The steps for Chakrasana are: Lie on your back with your knees bent, feet 12 inches apart and heels touching the buttocks. Now raise your arms and bending your elbows, place your palms on the floor besides your head above your shoulder level. Now breathe in and carefully lift your torso, arching your spine.Padmasana - The Lotus Pose
1.Sit on the floor. 
2.Bend your right leg at the knee.
3.Place your right foot on your left thigh with the help of your hands.
4.Now, fold the left leg too at the knee.
5.Once again, hold your left foot with your hands and bring it to rest on your right thigh."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.So linga mudra is the best solution for diabetes.Linga mudra can be done in the following way:
1.First, be in a comfortable position. 
2.Then, put both your hands in front of your body.
3.Clasp your hands together and interlock your fingers.
4.Keep your left thumb pointing upwards while the other fingers encircle it.And sun salutations are very helpful.Sun salutations are typically one of the first things you'll learn in an ashtanga, vinyasa or hatha yoga practice. "
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.so prana mudra is the best solution for impetigo.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers. And sun salutations are very helpful.Sun salutations are typically one of the first things you'll learn in an ashtanga, vinyasa or hatha yoga practice. There are easy sun salutations for beginners to do that can be gradually built on as you advance your practice."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.And balasana ,paschimottanasana are very helpful.balasan is Spread your knees as wide as your mat, keeping the tops of your feet on the floor with the big toes touching. Rest your belly between your thighs and root your forehead to the floor. Relax the shoulders, jaw, and eyes. If it is not comfortable to place the forehead on the floor, rest it on a block or two stacked fists.paschimottanasan is Sit erect.Inhale.Exhale.Lower your outstretched arms simultaneously, and grasp your toes.Bend further to close the gap between your chest and your thighs.Try to let your forehead rest on your legs.Maintain the posture for about 30 seconds to one minute while breathing evenly.Inhale."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.so prana mudra is the best solution for peptic ulcer disease.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers.And kapalabhati pranayama are best yogasanas.Sit comfortably with your back and spine erect.Place your hands on the knees with palms facing upwards.Inhale deeply.While exhaling you need to pull your stomach.You may feel the abdominal muscles contract on your stomach.Now relax."
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .so ashwin mudra is the best solution for Dimorphic hemmorhoids(piles).Sit in any comfortable meditation asana, like you can sit padmasana.Close your eyes and relax your whole body.After that, Feel your natural breathing process.Take awareness of the anus.Contract the anal sphincter muscles quickly for a few seconds without straining, then relax.And balsana yogasana is very helpful.Spread your knees as wide as your mat, keeping the tops of your feet on the floor with the big toes touching. Rest your belly between your thighs and root your forehead to the floor. Relax the shoulders, jaw, and eyes. If it is not comfortable to place the forehead on the floor, rest it on a block or two stacked fists."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.so linga mudra is the best solution for common cold.Linga mudra can be done in the following way:
1.First, be in a comfortable position.
2.Then, put both your hands in front of your body.
3.Clasp your hands together and interlock your fingers.
4.Keep your left thumb pointing upwards while the other fingers encircle it.And uttanasana , ustrasana are very helpful yogasanas.The steps to perform a basic Uttanasana pose are as follows:
1.Stand in a Tadasana pose by placing your feet slightly apart.
2.Use both of your feet to equally balance your weight.
3.Extend your arms overhead while breathing in.
4.Bend forward toward your feet while breathing out, keeping your back flat.ustrasan is Toes should be pointing back and resting on the floor. Bring the knees and the feet about one foot apart and stand on the knees. Inhale, bend backward slowly. Exhale; place the right palm on the right heel and left palm on the left heel."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.so yoni mudra is the best solution for chickenpox,Hold your body straight and erect, and close your eyes. Bring the palms of your hands together in the Namaste posture, and point the thumbs up. Now, open your palms apart, while the tips of the fingers of the two hands are still together.And sun salutations are very helpful.Sun salutations are typically one of the first things you'll learn in an ashtanga, vinyasa or hatha yoga practice. There are easy sun salutations for beginners to do that can be gradually built on as you advance your practice."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).so brahma mudra is the best solution for cervical spondylosis.Place both your hands in front of the navel with the opposite knuckles of the hands touching each other. Close your eyes and relax the head, neck and spine area. Keep all your focus on breathing deeply. Inhale to a count of six and move your head to the right.And sukhasana ,savitriasana are very helpful yogasanas.sukhasan is a simple asana which can be easily performed by people of all ages. It is as simple as sitting down on a flat surface. It is simply sitting cross-legged with a straight back and neck. This is the normal way of sitting in most Eastern cultures.savitriasana is Kneel down gently on your mat and keep your pelvis off your heels.Back is straight.Stretch your arms up at shoulder distance and palms facing each other.Look ahead.Your arms, spine, hips and thighs should be in one straight line."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.So gyan mudra is the best solution for hypothyroidism.Keep your hands on your knees with the palms facing upwards. In each of your hands, join the tips of the index finger to the thumb and apply light pressure. Keeping the other three fingers outstretched, close your eyes and focus on your breathing. You may perform Gyan mudra for any duration between 15-30 minutes.And sarvangasana ,ustrasana yogasanas also helpes very well. Sarvangasana is Lie down flat on your back.Breathe deeply.Tuck your hands underneath yourself with your palms facing up.Lift your torso gradually till you are resting on your shoulder.Your arms must now be bent at the elbow. Slowly straighten your back.Keep your knees firm but relax your calf muscles now.ustrasana is Stand on the knees. Keep the thighs fully straight. Lean in the backward direction. Push the hips in the forward direction. Then bend the head and the spine as backward and as far as possible without straining. Relax the body and the muscles of the back."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.so ashwini mudra is the best solution for urinary tract infection.Sit in any comfortable meditation asana, like you can sit padmasana.Close your eyes and relax your whole body.After that, Feel your naturalbreathing process.Take awareness of the anus.Contract the anal sphincter muscles quickly for a few seconds without straining, then relax.And suryanamaskar(sun salutations),pranyam re very useful."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.so viparitha karani mudra is the best solution for varicose veins.Lie down on a flat surface.Shimmy your hips as close as possible to the wall, then start walking your feet up the wall until your body forms an L shape.Make adjustments so that the posture feels relaxing, use a pillow under your head or a towel at the base of your back.And malasan ,tadasana are very useful.malasana is Stand at the front of your yoga mat with your feet a bit wider than your hips.Turn your toes out about 45 degrees.Bend your knees and lower your butt as close to the floor as possible.Once you are in a position you can sustain, let your butt sink toward the floor and lift your chest.tadasana is Stand upright, keeping a distance of 2 inches between your feet.Inhale and lift your arms in front, levelling up to your shoulders.Lock the fingers of both hands together and then slowly rotate your wrist outwards.Now inhale and lift your hands above the head."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.so prana mudra is the best solution for aids.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers. And chakrasana is very helpful.chakrasana is The steps for Chakrasana are: Lie on your back with your knees bent, feet 12 inches apart and heels touching the buttocks. Now raise your arms and bending your elbows, place your palms on the floor besides your head above your shoulder level. Now breathe in and carefully lift your torso, arching your spine.kapalabhati pranayama also very useful."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.so hastha mudra is the best solution for paralysis.Joining the thumb with the middle finger increases the space and the sound in the body. When you fold any of the finger. And press it with the thumb. It restores the balance.And uttanapadasan is very useful yogasanas.uttanapadasan is lye down comfortably on your back with your feet together.Arms on your side.Raise your legs to 45 degrees on exhalation without bending your knees.Keep your back straight to the mat.To avoid any neck pressure, tilt your chin towards your chest."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.so surya mudra is the best solution for typhoid.To do the surya mudra, start by sitting straight and then move your ring finger towards your palm and join it with your thumb. Stay in this position for at least 45 minutes every day with a 10-minute interval.And kapalbhathi pranayam are very useful."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.So prana mudra is the best solution for hepatitis A.Sitting comfortably, slowly inhale through your nose and count to 5.Keeping your lips sealed, breathe out through your nose and try to match the length of your inhale.Continue to inhale and exhale using the same process for 5-8 minutes.And shalabasana ,marjariasanas also very helpful.shalabasana is Lie on your stomach and place your chin on the floor.
1.Place the arms under the belly.
2.The hands are under the thigh, palm facing downward.
3.Breathe in and press the palms against the mat.
4.Keep the legs straight and raise the legs as high as comfortable.
5.Hold this pose and keep breathing.
Marjariasana is Inhale and look up towards the ceiling, arching your back and lowering your belly towards the ground. Exhale and tuck your chin towards your chest, rounding your spine and bringing your belly button towards your spine. Repeat these movements, inhaling as you look up and exhaling as you round your spine."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.so hastha mudra is the best solution for paralysis.Joining the thumb with the middle finger increases the space and the sound in the body. When you fold any of the finger. And press it with the thumb. It restores the balance.And suryanamaskar are best yogasanas."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.So prana mudra is the best solution for hepatitis A.Sitting comfortably, slowly inhale through your nose and count to 5.Keeping your lips sealed, breathe out through your nose and try to match the length of your inhale.Continue to inhale and exhale using the same process for 5-8 minutes.And shalabasana ,marjariasanas also very helpful.shalabasana is Lie on your stomach and place your chin on the floor.
1.Place the arms under the belly.
2.The hands are under the thigh, palm facing downward.
3.Breathe in and press the palms against the mat.
4.Keep the legs straight and raise the legs as high as comfortable.
5.Hold this pose and keep breathing.
Marjariasana is Inhale and look up towards the ceiling, arching your back and lowering your belly towards the ground. Exhale and tuck your chin towards your chest, rounding your spine and bringing your belly button towards your spine. Repeat these movements, inhaling as you look up and exhaling as you round your spine."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.so mahasirs mudra is the best solution for migraine.Come to a stable meditation posture.On both hands, bring the tips of yourthumb, middle finger and index finger together.Place your ring fingers in the crease near the base of your thumbs.Extend your little fingers.Close your eyes and focus on deep and steady breaths.And balasana is very helpful.balsana is Stress management. The child's pose helps to stretch your back and muscles around your hips. In this pose, kneel and sit on your knees. Lean forward, keeping your buttocks on your heels, and rest your forehead on the floor."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.so bronchial mudra is the best solution for bronchial asthma.Place the little finger at the base of the thumb, the ring finger on the upper thumb joint, and the middle finger on the pad of the thumb. Extend the index finger (5 minutes).And uttanasana,trikonasana are useful very well.uttanasana is Stand in a Tadasana pose by placing your feet slightly apart.
Use both of your feet to equally balance your weight.Extend your arms overhead while breathing in.Bend forward toward your feet while breathing out, keeping your back flat.trikonasana is Stand straight with your legs apart. Inhale.Exhale. Simultaneously, slide your left arm down along your left leg till your fingers are at your ankle.At this point, your right arm must be horizontal as your head is tilted left.Hold the pose with your knees and elbows straight. Inhale."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol.so prana mudra is the best solution for alcoholic hepatitis.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers. And bhujangasana is best yogasana.It is Lie down flat on your abdomen, in the relaxation posture. Slowly bring your legs close together.Move your arms so that they are folded at the elbow and your palms are close to your shoulders.Raise your elbows off the floor slightly. Raise your torso from the ground."
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it.so prana mudra is the best solution for alcoholic hepatitis.Stretch your hands outward and allow them to rest on the thighs, palms facing upwards. Now, touch the tip of the thumb with ring and little fingers.And matsyasana,padmasana are useful yogasanas.matsyasan is Keep your forearms firmly on the floor and lift your chest up by weighing down on your elbows. When your chest is off the floor, lower your head back till it touches the floor. Ensure that your elbows, and not your head, bear the weight of your torso. Breathe evenly as your body is now an arch.padmasana is Sit on the floor.Bend your right leg at the knee.Place your right foot on your left thigh with the help of your hands.Now, fold the left leg too at the knee.Once again, hold your left foot with your hands and bring it to rest on your right thigh."
Hepatitis E,"A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.So prana mudra is the best solution for hepatitis A.Sitting comfortably, slowly inhale through your nose and count to 5.Keeping your lips sealed, breathe out through your nose and try to match the length of your inhale.Continue to inhale and exhale using the same process for 5-8 minutes.And shalabasana ,marjariasanas also very helpful.shalabasana is Lie on your stomach and place your chin on the floor.
1.Place the arms under the belly.
2.The hands are under the thigh, palm facing downward.
3.Breathe in and press the palms against the mat.
4.Keep the legs straight and raise the legs as high as comfortable.
5.Hold this pose and keep breathing.
Marjariasana is Inhale and look up towards the ceiling, arching your back and lowering your belly towards the ground. Exhale and tuck your chin towards your chest, rounding your spine and bringing your belly button towards your spine. Repeat these movements, inhaling as you look up and exhaling as you round your spine."
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.so prithvi mudra is the best solution for dengue.First, sit in a relaxed position.Now, bring your ring finger and your thumb closer.Next, place your hands with palms facing upwards on the thighs or above the knees.Slowly fold your ring finger and tap the tip of the ring finger to the tip of the thumb with some pressure.And dandasana ,paschimottanasana are best yogasanas.dandasan is Sit on the floor comfortably and stretch your legs in front of you.Draw your buttock flesh out to the sides.Feel slight pressure on the bones touching the ground while you seated.Extend your heels, draw your kneecaps towards your pelvis, and continue breathing simultaneously.paschimottanasana is Sit erect.Inhale. Exhale.Lower your outstretched arms simultaneously, and grasp your toes.Bend further to close the gap between your chest and your thighs.Try to let your forehead rest on your legs.Maintain the posture for about 30 seconds to one minute while breathing evenly.

"
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).So prana mudra is the best solution for hepatitis A.Sitting comfortably, slowly inhale through your nose and count to 5.Keeping your lips sealed, breathe out through your nose and try to match the length of your inhale.Continue to inhale and exhale using the same process for 5-8 minutes.And shalabasana ,marjariasanas also very helpful.shalabasana is Lie on your stomach and place your chin on the floor.
1.Place the arms under the belly.
2.The hands are under the thigh, palm facing downward.
3.Breathe in and press the palms against the mat.
4.Keep the legs straight and raise the legs as high as comfortable.
5.Hold this pose and keep breathing.
Marjariasana is Inhale and look up towards the ceiling, arching your back and lowering your belly towards the ground. Exhale and tuck your chin towards your chest, rounding your spine and bringing your belly button towards your spine. Repeat these movements, inhaling as you look up and exhaling as you round your spine."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.so apana vayu mudra is the best solution of heart attack.find a quiet place and sit comfortably with your spine tall.extend the arms forward, palms up.fold your index finger in towards the center of your palm.cross your thumb over the index finger.touch the tip of the thumb to the tips of the middle AND ring fingers.keep little finger straight.And tadasan ,utkatasanas also very useful.tadasan is Stand upright, keeping a distance of 2 inches between your feet.Inhale and lift your arms in front, levelling up to your shoulders.Lock the fingers of both hands together and then slowly rotate your wrist outwards.Now inhale and lift your hands above the head.utkatasana is Starting in Mountain pose / Tadasana.Exhale as you bend your knees and move your hips back as if you were sitting down on a chair.Send your hips back rather than your knees forward, so that you can still see your toes.Inhale as you raise your arms up around your ears and soften your shoulders."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.so surya mudra is the best solution for pneumonia.To do the surya mudra, start by sitting straight and then move your ring finger towards your palm and join it with your thumb. Stay in this position for at least 45 minutes every day with a 10-minute interval.And sukhasana is the best yogasana.Sukhasana is a simple asana which can be easily performed by people of all ages. It is as simple as sitting down on a flat surface. It is simply sitting cross-legged with a straight back and neck. This is the normal way of sitting in most Eastern cultures."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.so prithvi mudra is the best solution for arithritis.First, sit in a relaxed position.Now, bring your ring finger and your thumb closer.Next, place your hands with palms facing upwards on the thighs or above the knees.Slowly fold your ring finger and tap the tip of the ring finger to the tip of the thumb with some pressure.And virabhadrasana ,vrikshasana are also very wel and useful yogasanas.virabhadrasana is Stand erect and spread your legs about three to four feet apart. Now, turn your right foot outwards by 90 degrees and the left by 15 degrees, making sure the heel of the right foot is perfectly aligned with the center of the left foot.vrikshasan is Stand straight.Balance firmly on your left leg and lift your right leg. Now, place your right foot against the inside of your left thigh.Join your palms in prayer at your chest level.Hold the position while breathing deeply.Lower your arms to chest level and then separate your palms."
